# 'counter', 'incidence', 'emission', 'azimuth', 'phase', 'reflectance_factor', 'standard_deviation', 'error_estimate', 'quality_flag', 'absolute_time', 'relative_time', 'bandpass_central', 'bandpass_FWHM', 'sample_temperature', 'air_temperature', 'air_humidity'
000000, 0.00, 80.00, 90.00, 80.00, 0.79146, 0.1338897162, 1.94936, 5, 1584089229.0, 0.0, 450.00, 70.00, 19.40, 20.00, 25.00
000001, 0.00, 75.00, 90.00, 75.00, 0.86380, 0.0999092389, 1.94936, 5, 1584089238.0, 9.0, 450.00, 70.00, 19.40, 20.00, 25.00
000002, 0.00, 70.00, 90.00, 70.00, 0.90850, 0.0610971397, 1.94936, 5, 1584089248.0, 19.0, 450.00, 70.00, 19.40, 20.00, 25.00
000003, 0.00, 65.00, 90.00, 65.00, 0.94535, 0.0656271848, 1.94936, 5, 1584089257.0, 28.0, 450.00, 70.00, 19.40, 20.00, 25.00
000004, 0.00, 60.00, 90.00, 60.00, 0.97333, 0.0416929619, 1.94936, 5, 1584089266.0, 37.0, 450.00, 70.00, 19.40, 20.10, 25.00
000005, 0.00, 55.00, 90.00, 55.00, 0.99324, 0.0785413508, 1.94936, 5, 1584089275.0, 46.0, 450.00, 70.00, 19.30, 20.00, 25.00
000006, 0.00, 50.00, 90.00, 50.00, 1.01126, 0.0313605132, 1.94936, 5, 1584089285.0, 56.0, 450.00, 70.00, 19.40, 20.10, 25.00
000007, 0.00, 45.00, 90.00, 45.00, 1.02827, 0.0313069490, 1.94936, 5, 1584089294.0, 65.0, 450.00, 70.00, 19.40, 20.00, 25.00
000008, 0.00, 40.00, 90.00, 40.00, 1.04108, 0.0229416992, 1.94936, 5, 1584089303.0, 74.0, 450.00, 70.00, 19.40, 20.10, 25.00
000009, 0.00, 35.00, 90.00, 35.00, 1.05334, 0.0270583850, 1.94936, 5, 1584089313.0, 84.0, 450.00, 70.00, 19.40, 20.10, 25.00
000010, 0.00, 30.00, 90.00, 30.00, 1.06559, 0.0311675878, 1.94936, 5, 1584089322.0, 93.0, 450.00, 70.00, 19.40, 20.00, 25.00
000011, 0.00, 25.00, 90.00, 25.00, 1.07631, 0.0260641650, 1.94936, 5, 1584089332.0, 103.0, 450.00, 70.00, 19.40, 20.10, 25.00
000012, 0.00, 20.00, 90.00, 20.00, 1.08532, 0.0254436749, 1.94936, 5, 1584089341.0, 112.0, 450.00, 70.00, 19.40, 20.10, 25.00
000013, 0.00, 15.00, 90.00, 15.00, 1.09449, 0.0130761558, 1.94936, 5, 1584089350.0, 121.0, 450.00, 70.00, 19.40, 20.10, 25.00
000014, 0.00, 10.00, 90.00, 10.00, 1.10326, 0.0313399529, 1.94936, 5, 1584089360.0, 131.0, 450.00, 70.00, 19.40, 20.10, 25.00
000015, 0.00, 5.00, 90.00, 5.00, 1.11304, 0.0267321230, 1.94936, 5, 1584089369.0, 140.0, 450.00, 70.00, 19.40, 20.10, 25.00
000016, 0.00, 5.00, 75.00, 5.00, 1.11171, 0.0349632475, 1.94936, 5, 1584089399.0, 170.0, 450.00, 70.00, 19.40, 20.10, 25.00
000017, 0.00, 10.00, 75.00, 10.00, 1.10253, 0.0194855782, 1.94936, 5, 1584089408.0, 179.0, 450.00, 70.00, 19.40, 20.10, 25.00
000018, 0.00, 15.00, 75.00, 15.00, 1.09382, 0.0186891831, 1.94936, 5, 1584089417.0, 188.0, 450.00, 70.00, 19.40, 20.10, 25.00
000019, 0.00, 20.00, 75.00, 20.00, 1.08454, 0.0379942446, 1.94936, 5, 1584089427.0, 198.0, 450.00, 70.00, 19.40, 20.10, 25.00
000020, 0.00, 25.00, 75.00, 25.00, 1.07516, 0.0233606901, 1.94936, 5, 1584089436.0, 207.0, 450.00, 70.00, 19.40, 20.10, 25.00
000021, 0.00, 30.00, 75.00, 30.00, 1.06448, 0.0444470581, 1.94936, 5, 1584089445.0, 216.0, 450.00, 70.00, 19.40, 20.10, 25.00
000022, 0.00, 35.00, 75.00, 35.00, 1.05194, 0.0120455070, 1.94936, 5, 1584089455.0, 226.0, 450.00, 70.00, 19.40, 20.10, 25.00
000023, 0.00, 40.00, 75.00, 40.00, 1.03968, 0.0414324462, 1.94936, 5, 1584089464.0, 235.0, 450.00, 70.00, 19.40, 20.10, 25.00
000024, 0.00, 45.00, 75.00, 45.00, 1.02651, 0.0199810134, 1.94936, 5, 1584089473.0, 244.0, 450.00, 70.00, 19.40, 20.10, 25.00
000025, 0.00, 50.00, 75.00, 50.00, 1.01017, 0.0367511932, 1.94936, 5, 1584089483.0, 254.0, 450.00, 70.00, 19.40, 20.10, 25.00
000026, 0.00, 55.00, 75.00, 55.00, 0.99237, 0.0287640144, 1.94936, 5, 1584089492.0, 263.0, 450.00, 70.00, 19.40, 20.10, 25.00
000027, 0.00, 60.00, 75.00, 60.00, 0.97252, 0.0510793639, 1.94936, 5, 1584089502.0, 273.0, 450.00, 70.00, 19.40, 20.10, 25.00
000028, 0.00, 65.00, 75.00, 65.00, 0.94367, 0.0698474086, 1.94936, 5, 1584089511.0, 282.0, 450.00, 70.00, 19.40, 20.10, 25.00
000029, 0.00, 70.00, 75.00, 70.00, 0.90692, 0.0883074681, 1.94936, 5, 1584089520.0, 291.0, 450.00, 70.00, 19.40, 20.10, 25.00
000030, 0.00, 75.00, 75.00, 75.00, 0.86106, 0.0683680252, 1.94936, 5, 1584089529.0, 300.0, 450.00, 70.00, 19.40, 20.10, 25.00
000031, 0.00, 80.00, 75.00, 80.00, 0.78659, 0.3716302210, 1.94936, 5, 1584089539.0, 310.0, 450.00, 70.00, 19.40, 20.10, 25.00
